Subject ID,Date,Investigator Initials,Randomization Number,Treatment Assignment,Comment
,___/___/___,,Stratum 2-1,B,
,___/___/___,,Stratum 2-2,D,
,___/___/___,,Stratum 2-3,C,
,___/___/___,,Stratum 2-4,A,
,___/___/___,,Stratum 2-5,E,
,___/___/___,,Stratum 2-6,E,
,___/___/___,,Stratum 2-7,A,
,___/___/___,,Stratum 2-8,B,
,___/___/___,,Stratum 2-9,D,
,___/___/___,,Stratum 2-10,C,
,___/___/___,,Stratum 2-11,C,
,___/___/___,,Stratum 2-12,E,
,___/___/___,,Stratum 2-13,D,
,___/___/___,,Stratum 2-14,B,
,___/___/___,,Stratum 2-15,A,
,___/___/___,,Stratum 2-16,E,
,___/___/___,,Stratum 2-17,B,
,___/___/___,,Stratum 2-18,E,
,___/___/___,,Stratum 2-19,C,
,___/___/___,,Stratum 2-20,C,
,___/___/___,,Stratum 2-21,D,
,___/___/___,,Stratum 2-22,A,
,___/___/___,,Stratum 2-23,D,
,___/___/___,,Stratum 2-24,A,
,___/___/___,,Stratum 2-25,B,
,___/___/___,,Stratum 2-26,A,
,___/___/___,,Stratum 2-27,D,
,___/___/___,,Stratum 2-28,E,
,___/___/___,,Stratum 2-29,C,
,___/___/___,,Stratum 2-30,D,
,___/___/___,,Stratum 2-31,B,
,___/___/___,,Stratum 2-32,C,
,___/___/___,,Stratum 2-33,E,
,___/___/___,,Stratum 2-34,B,
,___/___/___,,Stratum 2-35,A,
,___/___/___,,Stratum 2-36,B,
,___/___/___,,Stratum 2-37,E,
,___/___/___,,Stratum 2-38,A,
,___/___/___,,Stratum 2-39,C,
,___/___/___,,Stratum 2-40,E,
,___/___/___,,Stratum 2-41,C,
,___/___/___,,Stratum 2-42,E,
,___/___/___,,Stratum 2-43,D,
,___/___/___,,Stratum 2-44,A,
,___/___/___,,Stratum 2-45,D,
,___/___/___,,Stratum 2-46,D,
,___/___/___,,Stratum 2-47,B,
,___/___/___,,Stratum 2-48,A,
,___/___/___,,Stratum 2-49,C,
,___/___/___,,Stratum 2-50,B,
,___/___/___,,Stratum 2-51,C,
,___/___/___,,Stratum 2-52,D,
,___/___/___,,Stratum 2-53,C,
,___/___/___,,Stratum 2-54,E,
,___/___/___,,Stratum 2-55,E,
,___/___/___,,Stratum 2-56,A,
,___/___/___,,Stratum 2-57,E,
,___/___/___,,Stratum 2-58,D,
,___/___/___,,Stratum 2-59,D,
,___/___/___,,Stratum 2-60,A,
,___/___/___,,Stratum 2-61,B,
,___/___/___,,Stratum 2-62,C,
,___/___/___,,Stratum 2-63,B,
,___/___/___,,Stratum 2-64,A,
,___/___/___,,Stratum 2-65,B,
,___/___/___,,Stratum 2-66,E,
,___/___/___,,Stratum 2-67,C,
,___/___/___,,Stratum 2-68,C,
,___/___/___,,Stratum 2-69,D,
,___/___/___,,Stratum 2-70,D,
,___/___/___,,Stratum 2-71,B,
,___/___/___,,Stratum 2-72,A,
,___/___/___,,Stratum 2-73,A,
,___/___/___,,Stratum 2-74,C,
,___/___/___,,Stratum 2-75,E,
,___/___/___,,Stratum 2-76,B,
,___/___/___,,Stratum 2-77,D,
,___/___/___,,Stratum 2-78,B,
,___/___/___,,Stratum 2-79,E,
,___/___/___,,Stratum 2-80,A,
