Subject ID,Date,Investigator Initials,Randomization Number,Treatment Assignment,Comment
,___/___/___,,Stratum 4-1,B,
,___/___/___,,Stratum 4-2,A,
,___/___/___,,Stratum 4-3,C,
,___/___/___,,Stratum 4-4,B,
,___/___/___,,Stratum 4-5,E,
,___/___/___,,Stratum 4-6,E,
,___/___/___,,Stratum 4-7,A,
,___/___/___,,Stratum 4-8,D,
,___/___/___,,Stratum 4-9,C,
,___/___/___,,Stratum 4-10,D,
,___/___/___,,Stratum 4-11,E,
,___/___/___,,Stratum 4-12,A,
,___/___/___,,Stratum 4-13,C,
,___/___/___,,Stratum 4-14,B,
,___/___/___,,Stratum 4-15,A,
,___/___/___,,Stratum 4-16,B,
,___/___/___,,Stratum 4-17,E,
,___/___/___,,Stratum 4-18,C,
,___/___/___,,Stratum 4-19,A,
,___/___/___,,Stratum 4-20,D,
,___/___/___,,Stratum 4-21,E,
,___/___/___,,Stratum 4-22,D,
,___/___/___,,Stratum 4-23,C,
,___/___/___,,Stratum 4-24,B,
,___/___/___,,Stratum 4-25,D,
,___/___/___,,Stratum 4-26,E,
,___/___/___,,Stratum 4-27,A,
,___/___/___,,Stratum 4-28,D,
,___/___/___,,Stratum 4-29,E,
,___/___/___,,Stratum 4-30,C,
,___/___/___,,Stratum 4-31,D,
,___/___/___,,Stratum 4-32,C,
,___/___/___,,Stratum 4-33,B,
,___/___/___,,Stratum 4-34,A,
,___/___/___,,Stratum 4-35,B,
,___/___/___,,Stratum 4-36,D,
,___/___/___,,Stratum 4-37,D,
,___/___/___,,Stratum 4-38,B,
,___/___/___,,Stratum 4-39,C,
,___/___/___,,Stratum 4-40,B,
,___/___/___,,Stratum 4-41,E,
,___/___/___,,Stratum 4-42,C,
,___/___/___,,Stratum 4-43,A,
,___/___/___,,Stratum 4-44,E,
,___/___/___,,Stratum 4-45,A,
,___/___/___,,Stratum 4-46,A,
,___/___/___,,Stratum 4-47,E,
,___/___/___,,Stratum 4-48,C,
,___/___/___,,Stratum 4-49,E,
,___/___/___,,Stratum 4-50,D,
,___/___/___,,Stratum 4-51,D,
,___/___/___,,Stratum 4-52,B,
,___/___/___,,Stratum 4-53,C,
,___/___/___,,Stratum 4-54,C,
,___/___/___,,Stratum 4-55,B,
,___/___/___,,Stratum 4-56,A,
,___/___/___,,Stratum 4-57,B,
,___/___/___,,Stratum 4-58,A,
,___/___/___,,Stratum 4-59,E,
,___/___/___,,Stratum 4-60,D,
,___/___/___,,Stratum 4-61,B,
,___/___/___,,Stratum 4-62,C,
,___/___/___,,Stratum 4-63,E,
,___/___/___,,Stratum 4-64,B,
,___/___/___,,Stratum 4-65,A,
,___/___/___,,Stratum 4-66,D,
,___/___/___,,Stratum 4-67,A,
,___/___/___,,Stratum 4-68,E,
,___/___/___,,Stratum 4-69,B,
,___/___/___,,Stratum 4-70,D,
,___/___/___,,Stratum 4-71,C,
,___/___/___,,Stratum 4-72,D,
,___/___/___,,Stratum 4-73,E,
,___/___/___,,Stratum 4-74,C,
,___/___/___,,Stratum 4-75,A,
